file,location,frequency,status,error,header_found,rows_after_datetime_parse,mapped_columns_count,missing_cells,rows_with_missing,invalid_negative,invalid_gt500,duplicate_timestamps,irregular_gaps
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Oct-24\DCR AIIMS_RAIPUR_ Hourly - Oct-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Sep -24\DCR AIIMS_RAIPUR _ QUAT - SEP-2024.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,285.0,95.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2024\Sep -24\DCR AIIMS_RAIPUR_ Hourly - SEP-2024.xls,AIIMS,Hourly,ok,,True,23.0,12.0,69.0,23.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Apr -25\DCR AIIMS_RAIPUR _ QUAT - APR-2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Apr -25\DCR AIIMS_RAIPUR_ Hourly - APR 2025.xls,AIIMS,Hourly,ok,,True,24.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Aug-25\DCR AIIMS_RAIPUR _ QUAT - AUG-2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Aug-25\DCR AIIMS_RAIPUR_ Hourly - AUG-2025.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Dec. 2025\DCR AIIMS_RAIPUR _ QUAT -Dec. 2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Dec. 2025\DCR AIIMS_RAIPUR_ Hourly Dec. 2025.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Feb-25\DCR AIIMS_RAIPUR _ QUAT -Feb -2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Feb-25\DCR AIIMS_RAIPUR_ Hourly - Feb-2025.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Jan-25\DCR AIIMS_RAIPUR _ QUAT -JAN -2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,760.0,95.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Jan-25\DCR AIIMS_RAIPUR_ Hourly - JAN-2025.xls,AIIMS,Hourly,ok,,True,23.0,12.0,184.0,23.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\jul-25\DCR AIIMS_RAIPUR _ QUAT - JUL-2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\jul-25\DCR AIIMS_RAIPUR_ Hourly - JUL-2025.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\jun-25\DCR AIIMS_RAIPUR _ QUAT -JUNE-2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\jun-25\DCR AIIMS_RAIPUR_ Hourly -JUNE-2025.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Mar-25\DCR AIIMS_RAIPUR _ QUAT - MAR -2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Mar-25\DCR AIIMS_RAIPUR_ Hourly - MAR-2025.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\May-25\DCR AIIMS_RAIPUR _ QUAT - MAY-2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\May-25\DCR AIIMS_RAIPUR_ Hourly - MAY 2025.xls,AIIMS,Hourly,ok,,True,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
c:\Users\annam\OneDrive\Desktop\ML_Project\Datasets\DCR AIIMS\2025\Nov-25\DCR AIIMS_RAIPUR _ QUAT - Nov. -2025.xls,AIIMS,Quarterly,ok,,True,95.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
